127.0.0.1 - - [31/Mar/2023:13:44:11 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:44:12 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:44:12 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:54:36 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:55:03 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:55:34 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:55:39 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp?book=zzz&grade=%F0%9F%A4%8D%F0%9F%A4%8D%F0%9F%A4%8D%F0%9F%A4%8D%F0%9F%A4%8D HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:57:16 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:57:21 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp?book=aa&grade=%F0%9F%A4%8D%F0%9F%A4%8D%F0%9F%A4%8D%F0%9F%A4%8D%F0%9F%A4%8D HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:57:22 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp?book= HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:57:23 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp?book= HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:57:23 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp?book= HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:57:23 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp?book= HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [31/Mar/2023:13:57:23 +0900] "GET /JSPStudy/ch05/handlerFunction.jsp?book= HTTP/1.1" 200 1179
